date,narration,amount,type
2024-09-13,Office supplies,2388.94,debit
2024-06-19,Google Workspace,1479.98,debit
2025-06-19,Airtel broadband,613.38,debit
2025-11-20,Swiggy order #3882,259.15,debit
2026-01-13,Hotel stay 7738,13729.05,debit
2025-05-24,Ola cab 1414,285.7,debit
2026-04-19,Figma subscription,1789.28,debit
2024-08-13,Airtel broadband,1494.09,debit
2024-08-13,Figma subscription,1655.76,debit
2024-07-13,Flipkart order #4654,902.83,debit
2026-02-06,Client payment 6864,94733.23,credit
2024-09-14,Razorpay settlement 9187,47159.15,credit
2026-04-28,Ola cab 4695,332.39,debit
2025-04-05,Zoom subscription,1396.98,debit
2025-02-17,Hotel stay 8244,10370.43,debit
2024-01-05,Electricity bill 1230,3135.13,debit
2025-08-22,Interest credit,1233.67,credit
2024-08-23,Flight booking 8889,16789.93,debit
2025-02-13,Freelance payment 6319,74251.73,credit
2025-02-09,Swiggy order #5227,591.94,debit
2025-10-17,Flight booking 6352,16705.46,debit
2024-11-30,Jio recharge,504.49,debit
2025-10-29,Spotify premium,133.85,debit
2025-06-27,Freelance payment 9838,13289.67,credit
2026-01-25,Spotify premium,149.98,debit
2024-07-11,Jio recharge,428.38,debit
2026-03-27,Jio recharge,532.51,debit
2024-02-25,Jio recharge,221.88,debit
2024-05-08,Cheque deposit 3757,42800.37,credit
2025-01-18,Electricity bill 4208,4732.77,debit
2024-05-03,Refund credit 9978,3564.05,credit
2024-10-01,Microsoft Azure 3139,17081.84,debit
2024-08-06,Team lunch 7230,5409.24,debit
2025-02-09,Zomato order #4836,444.41,debit
2026-02-25,Flight booking 4434,3457.57,debit
2024-09-17,BigBasket order,704.42,debit
2024-03-22,Hotel stay 5578,11492.41,debit
2025-09-25,AWS invoice 9548,9499.12,debit
2025-09-12,Airtel broadband,615.65,debit
2026-02-22,Airtel broadband,1251.39,debit
2025-02-03,Spotify premium,197.2,debit
2024-10-10,Medical reimbursement,725.54,debit
2024-04-26,Salary credit 6931,56355.8,credit
2025-05-10,Office supplies,2893.34,debit
2025-07-02,Salary credit 9107,89217.34,credit
2024-06-01,Razorpay settlement 6705,30973.48,credit
2024-09-24,Medical reimbursement,3965.34,debit
2024-10-18,Freelance payment 1841,43509.99,credit
2024-11-30,Cheque deposit 1494,85032.49,credit
2024-02-25,Zoom subscription,1519.68,debit
2024-07-31,Razorpay settlement 3573,14496.13,credit
2025-06-27,Ola cab 7814,389.12,debit
2025-05-19,Myntra order #7677,2875.93,debit
2024-11-27,Freelance payment 7897,22197.23,credit
2026-04-16,Netflix subscription,660.19,debit
2026-04-06,Team lunch 6359,3820.98,debit
2025-10-16,Cheque deposit 1747,19702.63,credit
2025-01-27,BigBasket order,580.96,debit
2024-05-09,Flight booking 1866,9439.61,debit
2024-04-12,Flight booking 9598,8155.46,debit
2026-04-26,BigBasket order,1235.41,debit
2026-03-31,Salary credit 3339,117941.06,credit
2024-08-06,Uber ride 3518,404.85,debit
2024-07-04,Microsoft Azure 2382,17654.25,debit
2025-03-09,Hotel stay 8851,2961.55,debit
2025-04-26,UPI transfer #3533,39070.26,debit
2025-10-17,Electricity bill 1785,4085.0,debit
2026-01-15,Microsoft Azure 6054,8777.31,debit
2026-04-02,Medical reimbursement,1159.21,debit
2025-05-09,Slack subscription,896.76,debit
2024-12-31,Refund credit 2086,3474.75,credit
2024-01-04,Electricity bill 2960,1233.67,debit
2024-11-01,Office supplies,2751.44,debit
2025-02-17,Ola cab 2489,91.47,debit
2025-08-17,Freelance payment 6531,21984.04,credit
2025-09-22,Client payment 5362,114364.6,credit
2024-02-10,Google Workspace,1782.22,debit
2025-09-30,Netflix subscription,771.13,debit
2024-04-01,Spotify premium,169.84,debit
2024-03-09,Slack subscription,1676.06,debit
2024-04-21,Zomato order #6139,547.65,debit
2025-05-16,Team lunch 6130,2648.48,debit
2024-03-06,Office supplies,1534.28,debit
2024-08-25,Microsoft Azure 5227,5443.27,debit
2025-08-19,Figma subscription,1079.59,debit
2026-02-10,Zepto groceries,579.71,debit
2025-09-28,Zepto groceries,1387.11,debit
2025-02-10,Uber ride 6129,97.77,debit
2024-07-17,Zepto groceries,973.25,debit
2025-05-07,Electricity bill 4209,2978.14,debit
2024-09-25,NEFT transfer 2111,97018.95,credit
2025-02-16,Office supplies,2556.46,debit
2025-04-19,Zepto groceries,1739.36,debit
2025-02-21,Myntra order #8432,2378.91,debit
2025-12-26,Interest credit,634.62,credit
2024-02-23,Client payment 7735,172987.28,credit
2025-05-26,Client payment 8559,192705.55,credit
2024-07-05,Client payment 8680,99116.57,credit
2025-11-05,Electricity bill 1715,3794.09,debit
2026-01-20,Hotel stay 6946,3185.49,debit
2025-02-19,AWS invoice 2491,6881.84,debit
2024-07-24,Salary credit 5919,96248.67,credit
2025-04-29,Airtel broadband,833.79,debit
2024-08-12,Microsoft Azure 8643,13859.04,debit
2025-01-16,AWS invoice 4854,12359.17,debit
2025-07-23,Electricity bill 2047,4133.9,debit
2024-06-01,Jio recharge,256.65,debit
2024-03-09,Microsoft Azure 8144,15674.61,debit
2025-12-13,Netflix subscription,675.86,debit
2024-09-11,Figma subscription,1886.21,debit
2024-08-24,Figma subscription,1520.52,debit
2025-11-30,Office supplies,1744.17,debit
2025-12-04,Uber ride 4241,468.04,debit
2025-01-23,BigBasket order,2396.1,debit
2025-08-02,Zepto groceries,449.14,debit
2025-07-09,Jio recharge,282.7,debit
2024-03-31,Flipkart order #9807,2951.61,debit
2024-05-09,AWS invoice 2991,7129.33,debit
2024-04-20,Slack subscription,501.92,debit
2024-11-10,Uber ride 3840,394.1,debit
2026-03-16,Zomato order #4362,394.86,debit
2024-09-14,Bank charges 3151,376.97,debit
2024-05-21,Hotel stay 8837,4695.44,debit
2024-08-08,Cheque deposit 3614,14471.95,credit
2026-02-03,Razorpay settlement 3990,43361.67,credit
2025-07-15,Swiggy order #6706,369.32,debit
2025-11-08,BigBasket order,2100.24,debit
2024-12-01,Zoom subscription,1721.13,debit
2024-02-27,Salary credit 7843,90586.28,credit
2026-02-28,Electricity bill 2785,2788.34,debit
2024-04-04,Team lunch 3988,7365.6,debit
2026-02-04,Zepto groceries,598.59,debit
2024-05-07,Ola cab 3958,123.13,debit
2025-06-20,Medical reimbursement,2573.09,debit
2024-03-09,Netflix subscription,740.36,debit
2025-07-04,NEFT transfer 1436,1717.0,credit
2026-01-04,Google Workspace,1836.49,debit
2024-01-24,Microsoft Azure 9649,10429.3,debit
2025-09-16,Zomato order #1605,660.09,debit
2024-07-08,Slack subscription,1215.74,debit
2025-12-03,Ola cab 6876,254.23,debit
2024-09-02,NEFT transfer 2966,84226.52,credit
2025-12-22,Spotify premium,105.88,debit
2024-03-09,Jio recharge,334.4,debit
2024-08-29,Freelance payment 6967,65541.6,credit
2024-02-21,Netflix subscription,566.81,debit
2024-12-05,Spotify premium,115.45,debit
2026-04-13,Hotel stay 6007,5967.44,debit
2025-09-20,AWS invoice 1462,3234.4,debit
2025-05-11,Spotify premium,112.68,debit
2024-05-19,Swiggy order #2766,237.39,debit
2026-03-18,Hotel stay 6067,5115.79,debit
2025-02-15,ATM withdrawal 1834,2066.17,debit
2024-11-06,Airtel broadband,1245.61,debit
2025-03-28,Zomato order #8499,991.05,debit
2025-12-10,Flipkart order #8170,3274.37,debit
2024-05-12,Razorpay settlement 3034,27628.87,credit
2026-02-26,Interest credit,1434.61,credit
2025-12-14,Ola cab 2983,352.09,debit
2024-04-02,IMPS payment 2531,6335.19,debit
2024-09-29,Zomato order #4148,257.11,debit
2024-03-23,Spotify premium,123.62,debit
2024-10-05,Jio recharge,229.87,debit
2025-08-28,Microsoft Azure 1362,4099.18,debit
2024-10-12,Salary credit 5107,126799.96,credit
2026-03-09,Electricity bill 8559,4854.09,debit
2026-01-13,Zepto groceries,1037.93,debit
2025-02-21,Electricity bill 4791,2225.78,debit
2024-08-10,Microsoft Azure 9165,10144.13,debit
2024-02-16,Cheque deposit 5545,22105.77,credit
2025-01-17,Spotify premium,131.45,debit
2026-04-01,Cheque deposit 9779,74588.15,credit
2025-01-12,Flipkart order #1418,1305.32,debit
2024-08-09,GitHub subscription,920.84,debit
2025-03-11,Spotify premium,157.14,debit
2025-08-30,Amazon purchase,1319.87,debit
2024-03-27,Jio recharge,403.35,debit
2024-03-09,Team lunch 2840,2453.32,debit
2025-12-29,Client payment 3307,145842.83,credit
2025-10-04,Flipkart order #1414,1476.38,debit
2025-05-09,Slack subscription,731.12,debit
2025-10-11,ATM withdrawal 7262,4882.8,debit
2026-04-19,GitHub subscription,415.11,debit
2024-06-17,GitHub subscription,511.82,debit
2026-04-27,Google Workspace,1109.59,debit
2024-06-28,Zoom subscription,1330.51,debit
2024-11-11,Medical reimbursement,2801.48,debit
2025-05-30,Salary credit 3112,66693.51,credit
2024-06-04,Zoom subscription,1589.81,debit
2025-10-07,Microsoft Azure 9834,14283.53,debit
2025-03-22,Amazon purchase,1132.02,debit
2026-04-09,Zomato order #9854,889.48,debit
2024-10-04,Swiggy order #7130,163.53,debit
2025-09-08,Client payment 2134,160303.38,credit
2025-10-17,Amazon purchase,1688.47,debit
2024-08-12,Ola cab 5706,388.13,debit
2025-04-17,Zomato order #3765,480.28,debit
2025-03-25,Figma subscription,1384.13,debit
2024-04-10,ATM withdrawal 2650,4125.85,debit
2026-01-11,Office supplies,2531.19,debit
2026-02-02,Salary credit 2245,55369.64,credit
2024-06-03,Office supplies,758.92,debit
2026-01-12,Medical reimbursement,4885.25,debit
2025-07-12,ATM withdrawal 1167,2526.82,debit
2024-10-13,Spotify premium,142.62,debit
2025-02-01,Uber ride 6901,193.95,debit
2024-07-06,Medical reimbursement,2736.67,debit
2025-06-28,Netflix subscription,602.34,debit
2024-04-21,Uber ride 9131,195.9,debit
2026-04-22,Zoom subscription,1415.97,debit
2024-05-04,Spotify premium,167.66,debit
2025-08-25,Uber ride 9785,175.39,debit
2024-04-18,Slack subscription,797.97,debit
2024-12-12,Microsoft Azure 3618,5978.71,debit
2026-03-15,GitHub subscription,1182.54,debit
2024-04-01,Figma subscription,1779.46,debit
2025-03-22,ATM withdrawal 3126,5266.01,debit
2025-06-23,Amazon purchase,3562.43,debit
2024-11-18,Zepto groceries,1418.88,debit
2024-09-08,BigBasket order,1710.86,debit
2025-05-28,Hotel stay 7012,7340.89,debit
2024-10-22,GitHub subscription,964.87,debit
2025-11-14,Swiggy order #3200,344.6,debit
2024-10-27,NEFT transfer 9782,36534.61,credit
2024-11-24,Spotify premium,194.73,debit
2024-01-27,Zepto groceries,1885.38,debit
2025-11-30,Electricity bill 9690,2560.28,debit
2024-12-26,Airtel broadband,1340.66,debit
2024-10-29,Flipkart order #9026,2850.72,debit
2025-01-23,Flipkart order #8454,3944.17,debit
2024-04-20,GitHub subscription,721.75,debit
2026-02-14,NEFT transfer 2663,94079.92,credit
2025-05-17,UPI transfer #5777,28808.41,debit
2024-03-09,Flight booking 8982,4669.44,debit
2025-11-10,Figma subscription,1977.92,debit
2026-04-25,Amazon purchase,3064.2,debit
2024-04-16,Salary credit 8966,84663.55,credit
2024-03-03,Client payment 9773,167312.94,credit
2024-04-28,Razorpay settlement 9432,42634.96,credit
2025-03-28,Zoom subscription,1324.26,debit
2025-02-04,Flipkart order #5131,1511.33,debit
2024-06-09,Slack subscription,1850.1,debit
2024-06-28,Jio recharge,243.95,debit
2024-05-26,Uber ride 7594,259.09,debit
2024-12-28,Microsoft Azure 1745,18968.47,debit
2025-09-14,Hotel stay 7909,2972.71,debit
2024-01-17,Netflix subscription,753.48,debit
2024-04-07,Freelance payment 7911,77671.07,credit
2024-05-28,Razorpay settlement 9948,46751.51,credit
2024-12-28,Airtel broadband,1441.13,debit
2025-08-16,Team lunch 3010,2665.59,debit
2026-02-22,Zepto groceries,536.79,debit
2025-11-03,Google Workspace,899.79,debit
2025-05-30,UPI transfer #6313,42106.56,debit
2025-03-17,Flipkart order #1835,730.35,debit
2025-02-11,Zomato order #8450,351.85,debit
2025-01-16,Hotel stay 7834,3997.5,debit
2025-07-26,GitHub subscription,417.2,debit
2024-02-27,Uber ride 6435,332.7,debit
2025-05-19,UPI transfer #6398,45338.73,debit
2026-03-01,ATM withdrawal 8032,3686.19,debit
2025-11-22,Hotel stay 6001,9203.87,debit
2026-02-21,Hotel stay 8407,14820.69,debit
2026-01-17,Airtel broadband,812.55,debit
2024-06-26,Medical reimbursement,1564.48,debit
2025-10-01,Razorpay settlement 5856,41363.15,credit
2024-01-29,Interest credit,300.99,credit
2024-05-24,Client payment 7639,116173.25,credit
2026-02-16,Figma subscription,1970.15,debit
2025-05-08,Electricity bill 7922,2542.57,debit
2025-06-20,Flipkart order #7229,2940.49,debit
2026-03-30,Jio recharge,248.13,debit
2025-10-23,Flipkart order #3293,511.5,debit
2025-02-08,Flight booking 2845,19408.74,debit
2025-02-27,IMPS payment 8517,4331.84,debit
2024-05-07,Freelance payment 7183,78216.79,credit
2025-09-18,Bank charges 3193,463.07,debit
2024-07-10,Flipkart order #8404,864.65,debit
2026-03-14,Netflix subscription,608.9,debit
2025-11-14,UPI transfer #2809,5761.88,debit
2024-10-15,AWS invoice 3067,7544.53,debit
2024-03-26,BigBasket order,752.83,debit
2024-09-22,Jio recharge,535.95,debit
2024-08-10,Razorpay settlement 6950,45520.65,credit
2024-07-28,AWS invoice 5155,4986.38,debit
2025-06-26,Team lunch 9115,4856.26,debit
2024-12-27,Airtel broadband,789.21,debit
2024-11-30,Salary credit 6067,105627.2,credit
2026-03-16,Zepto groceries,1278.72,debit
2026-01-04,Flight booking 6105,19351.81,debit
2024-11-30,Airtel broadband,712.71,debit
2025-08-12,Medical reimbursement,791.0,debit
2025-10-04,Medical reimbursement,3302.56,debit
2026-02-05,Netflix subscription,779.01,debit
2024-09-24,Zepto groceries,1438.53,debit
2025-02-19,Uber ride 1154,238.41,debit
2026-04-30,Razorpay settlement 2369,47060.5,credit
2025-08-31,Zoom subscription,1660.52,debit
2025-01-28,Refund credit 5318,788.01,credit
2024-10-21,Office supplies,2280.08,debit
2024-07-20,Flight booking 5309,14217.65,debit
2025-08-30,Salary credit 1710,95200.54,credit
2024-07-18,Hotel stay 3144,13131.28,debit
2024-01-16,Swiggy order #3487,689.66,debit
2025-08-13,Spotify premium,196.77,debit
2025-12-03,Electricity bill 7581,1046.35,debit
2024-04-04,ATM withdrawal 7299,6216.81,debit
2025-12-11,Interest credit,423.46,credit
2024-09-13,Zoom subscription,1107.84,debit
2025-06-20,Uber ride 9383,241.32,debit
2025-11-13,Hotel stay 9135,9750.64,debit
2025-01-07,Zomato order #3113,520.75,debit
2024-07-04,Medical reimbursement,1782.11,debit
2024-03-11,GitHub subscription,550.29,debit
2025-10-05,Uber ride 1338,211.49,debit
2024-05-16,Jio recharge,498.11,debit
2025-08-17,Uber ride 4593,257.17,debit
2024-07-03,Ola cab 3216,380.11,debit
2024-09-26,Client payment 6621,68493.48,credit
2025-09-02,Hotel stay 3583,6828.18,debit
2024-11-03,IMPS payment 7272,17072.18,debit
2024-09-15,Freelance payment 8058,11930.39,credit
2024-12-13,Medical reimbursement,527.48,debit
2025-06-08,Zepto groceries,426.56,debit
2025-12-14,Medical reimbursement,2732.85,debit
2024-03-26,Zepto groceries,1802.78,debit
2026-01-19,Myntra order #4796,2847.94,debit
2024-05-23,Ola cab 1892,119.33,debit
2024-05-19,Ola cab 2200,291.72,debit
2025-05-27,ATM withdrawal 2147,5777.91,debit
2025-01-30,BigBasket order,530.48,debit
2025-04-14,Razorpay settlement 1448,25732.42,credit
2025-05-03,Figma subscription,1363.07,debit
2025-01-01,Interest credit,773.15,credit
2026-01-15,GitHub subscription,1388.39,debit
2025-12-26,Zoom subscription,1639.1,debit
2024-02-18,Netflix subscription,798.87,debit
2025-07-20,Zoom subscription,1948.7,debit
2025-11-17,Flipkart order #5544,311.18,debit
2025-10-08,Flight booking 6291,11078.57,debit
2024-05-27,UPI transfer #3362,47760.2,debit
2025-04-21,ATM withdrawal 8795,1089.79,debit
2024-12-12,Uber ride 8111,248.69,debit
2025-03-21,Cheque deposit 5909,72692.37,credit
2025-08-11,Office supplies,1769.87,debit
2024-10-03,Electricity bill 6313,3752.65,debit
2026-01-24,Swiggy order #7910,521.36,debit
2024-03-03,Refund credit 4547,3389.98,credit
2025-05-06,Zepto groceries,1252.83,debit
2026-03-03,Zepto groceries,1640.69,debit
2024-04-08,Slack subscription,1530.09,debit
2026-04-26,Flipkart order #3947,2946.34,debit
2025-05-21,Zepto groceries,1422.28,debit
2024-05-06,Airtel broadband,1114.25,debit
2025-04-15,Flight booking 8682,13485.57,debit
2024-10-07,Flight booking 8067,17646.59,debit
2025-04-08,Spotify premium,113.82,debit
2025-08-09,Bank charges 6334,104.13,debit
2025-07-13,BigBasket order,931.93,debit
2025-04-17,Medical reimbursement,1089.76,debit
2024-11-28,BigBasket order,1776.11,debit
2024-06-23,Myntra order #6038,1928.55,debit
2024-12-22,Client payment 3627,151832.43,credit
2024-12-11,Figma subscription,1370.27,debit
2024-04-18,Slack subscription,1604.2,debit
2024-08-12,Microsoft Azure 7624,10409.21,debit
2024-08-08,GitHub subscription,1062.36,debit
2024-02-21,Medical reimbursement,4362.36,debit
2024-11-13,BigBasket order,1585.37,debit
2026-03-15,Freelance payment 8559,63033.49,credit
2025-02-22,Electricity bill 6482,3715.59,debit
2025-10-08,Spotify premium,115.67,debit
2024-07-14,Netflix subscription,780.55,debit
2026-02-28,AWS invoice 3868,9672.82,debit
2024-02-13,Interest credit,1298.54,credit
2025-12-07,IMPS payment 9132,2317.37,debit
2026-03-19,AWS invoice 1136,10033.54,debit
2024-07-07,BigBasket order,1559.86,debit
2024-04-30,Flipkart order #5047,2946.42,debit
2024-07-27,Team lunch 3631,3601.61,debit
2025-10-07,Zoom subscription,1275.22,debit
2024-07-06,NEFT transfer 1674,30678.19,credit
2024-03-16,Zomato order #5305,509.49,debit
2025-06-07,Figma subscription,1667.33,debit
2025-04-11,Flight booking 8865,16377.69,debit
2025-02-04,ATM withdrawal 3305,2343.63,debit
2025-02-01,Flipkart order #8101,1944.63,debit
2024-12-05,Hotel stay 5127,3137.77,debit
2024-11-08,Google Workspace,774.57,debit
2026-01-26,Jio recharge,376.81,debit
2025-07-29,Ola cab 6820,235.64,debit
2025-05-20,Office supplies,1583.91,debit
2025-07-08,GitHub subscription,1079.21,debit
2025-09-08,Client payment 4933,36659.18,credit
2025-09-05,Google Workspace,931.44,debit
2025-11-01,Refund credit 7387,4446.08,credit
2024-03-27,Microsoft Azure 1584,10445.72,debit
2025-01-26,Hotel stay 3841,6960.35,debit
2026-01-09,BigBasket order,2612.6,debit
2026-04-28,Zepto groceries,472.21,debit
2026-02-03,Zoom subscription,1898.13,debit
2024-12-29,NEFT transfer 1834,76295.4,credit
2025-05-28,Figma subscription,1871.55,debit
2024-12-02,Refund credit 6974,4143.08,credit
2024-10-17,Hotel stay 3667,7114.12,debit
2025-02-18,Ola cab 8538,389.18,debit
2024-12-12,Client payment 5615,179725.08,credit
2024-03-13,Amazon purchase,1904.47,debit
2025-07-23,Google Workspace,788.99,debit
2025-06-10,GitHub subscription,1123.43,debit
2025-12-14,Team lunch 3177,6067.4,debit
2025-11-11,Spotify premium,169.59,debit
2025-05-24,Salary credit 3121,134551.13,credit
2025-03-01,Salary credit 4713,50121.04,credit
2024-09-28,Flight booking 3579,12255.85,debit
2026-02-26,Ola cab 1725,290.43,debit
2024-06-06,Salary credit 3549,62384.26,credit
2025-02-06,Uber ride 6781,272.04,debit
2025-03-09,Medical reimbursement,1434.77,debit
2024-04-12,Office supplies,1459.98,debit
2025-04-19,Freelance payment 2415,18138.32,credit
2025-11-26,Zepto groceries,1713.93,debit
2025-09-16,Medical reimbursement,3414.44,debit
2025-11-01,Slack subscription,1529.59,debit
2024-02-07,Netflix subscription,557.33,debit
2025-09-03,Airtel broadband,508.03,debit
2025-09-11,NEFT transfer 3078,26831.9,credit
2024-08-07,Zepto groceries,1881.85,debit
2025-02-18,ATM withdrawal 9262,3034.33,debit
2025-09-16,Freelance payment 3979,36529.25,credit
2025-05-04,Razorpay settlement 6164,32448.25,credit
2025-05-05,Microsoft Azure 9870,4683.8,debit
2026-04-28,AWS invoice 3223,4048.43,debit
2024-03-12,GitHub subscription,607.33,debit
2024-05-08,Jio recharge,379.73,debit
2024-05-09,Flipkart order #4765,3433.32,debit
2025-07-19,Medical reimbursement,4283.46,debit
2026-02-11,Uber ride 7760,488.37,debit
2025-10-19,Airtel broadband,1194.59,debit
2024-12-02,Netflix subscription,690.6,debit
2024-03-21,Myntra order #7922,2818.6,debit
2025-02-14,Zomato order #2459,543.12,debit
2024-05-04,GitHub subscription,1448.94,debit
2024-06-20,Spotify premium,104.64,debit
2024-10-09,UPI transfer #1531,4928.54,debit
2024-02-21,Jio recharge,299.68,debit
2025-11-23,GitHub subscription,1141.85,debit
2025-03-28,ATM withdrawal 5857,7986.85,debit
2024-02-08,Zomato order #8889,586.61,debit
2026-01-08,Figma subscription,806.07,debit
2024-03-09,Zepto groceries,375.96,debit
2026-01-02,NEFT transfer 2624,93930.43,credit
2024-10-24,GitHub subscription,1033.28,debit
2024-12-19,Hotel stay 5940,7258.57,debit
2025-12-21,Swiggy order #5623,683.49,debit
2026-01-03,ATM withdrawal 9995,7063.63,debit
2024-12-29,Flipkart order #7677,1811.55,debit
2025-02-04,Razorpay settlement 5626,8232.04,credit
2024-02-10,GitHub subscription,796.24,debit
2025-05-03,Swiggy order #7456,374.06,debit
2025-06-20,AWS invoice 5638,8468.14,debit
2024-11-17,AWS invoice 5762,7266.33,debit
2024-11-25,Electricity bill 1596,2475.48,debit
2026-02-19,Swiggy order #5918,427.81,debit
2025-02-21,Amazon purchase,1296.22,debit
2024-02-12,Myntra order #1868,2285.72,debit
2026-04-14,Myntra order #9412,1737.56,debit
2024-12-11,Medical reimbursement,4985.09,debit
2025-02-15,Amazon purchase,2917.62,debit
2024-08-28,Zomato order #2871,552.22,debit
2025-07-22,Client payment 8741,181587.1,credit
2025-12-04,Netflix subscription,570.84,debit
2026-04-20,Jio recharge,417.84,debit
2025-10-03,Microsoft Azure 5681,7668.16,debit
2025-09-24,Freelance payment 4796,14729.9,credit
2025-10-10,Google Workspace,986.77,debit
2024-04-18,Bank charges 9737,103.45,debit
2026-04-06,Client payment 4553,129437.11,credit
2026-01-14,Medical reimbursement,891.62,debit
2025-03-29,Razorpay settlement 1811,13606.83,credit
2024-09-12,Hotel stay 8289,10630.3,debit
2026-04-18,Razorpay settlement 1420,48412.43,credit
2025-01-13,Figma subscription,1012.68,debit
2026-03-23,Razorpay settlement 9966,14422.15,credit
2024-07-17,Flight booking 7143,17420.73,debit
2025-06-26,Netflix subscription,621.56,debit
2025-04-04,Client payment 8809,137049.96,credit
2024-03-20,Jio recharge,381.79,debit
2024-02-29,Freelance payment 3219,32377.68,credit
2025-09-18,Medical reimbursement,615.29,debit
2025-09-23,GitHub subscription,1156.65,debit
2025-02-15,ATM withdrawal 3668,7862.83,debit
2026-04-04,Amazon purchase,721.45,debit
2024-02-15,Medical reimbursement,4316.56,debit
2026-04-07,Swiggy order #2663,541.71,debit
2024-11-24,Flight booking 7322,18570.85,debit
2024-05-14,Google Workspace,1575.41,debit
2026-03-19,Slack subscription,629.03,debit
2025-07-18,IMPS payment 5362,377.31,debit
2025-05-28,Airtel broadband,1420.52,debit
2025-11-29,Swiggy order #4781,373.88,debit
2025-06-12,Salary credit 6593,110873.89,credit
2024-08-17,Flipkart order #3427,2227.55,debit
2024-06-21,Ola cab 1076,388.35,debit
2024-10-08,Swiggy order #3305,570.78,debit
2025-01-07,Jio recharge,330.4,debit
2024-09-23,BigBasket order,895.25,debit
2024-03-05,Electricity bill 2070,4022.42,debit
2024-09-26,Office supplies,1599.66,debit
2024-04-20,Slack subscription,716.53,debit
2024-06-26,Zoom subscription,1372.11,debit
2024-06-30,Electricity bill 7069,4935.18,debit
2024-05-15,Medical reimbursement,2060.15,debit
2025-08-10,Zoom subscription,1494.1,debit
2026-02-20,Ola cab 4167,241.25,debit
2026-01-30,Office supplies,2294.27,debit
2025-11-23,NEFT transfer 8268,56253.06,credit
2026-03-26,Interest credit,1583.72,credit
2025-08-31,Zepto groceries,1697.3,debit
2024-05-04,Electricity bill 9932,1873.01,debit
2025-12-02,Figma subscription,957.54,debit
2024-04-22,Spotify premium,136.36,debit
2025-07-03,Flipkart order #7524,835.99,debit
2026-02-26,Jio recharge,511.25,debit
2025-11-03,Hotel stay 4633,11306.88,debit
2025-10-02,Myntra order #3637,2807.07,debit
2025-05-07,Interest credit,476.37,credit
2024-11-16,NEFT transfer 5454,13429.85,credit
2025-07-27,Office supplies,2408.63,debit
2024-08-18,Zepto groceries,1023.72,debit
2024-03-14,GitHub subscription,578.2,debit
2025-02-10,Medical reimbursement,1397.62,debit
2025-09-10,Netflix subscription,779.8,debit
2026-04-19,ATM withdrawal 2941,3932.66,debit
2024-01-24,IMPS payment 9438,1004.48,debit
2024-02-27,Zoom subscription,1791.49,debit
2026-01-02,Cheque deposit 7131,94917.87,credit
2026-04-05,Freelance payment 1008,53008.93,credit
2025-03-30,AWS invoice 1176,10739.09,debit
2024-06-14,Amazon purchase,2689.28,debit
2024-02-12,Interest credit,1162.88,credit
2025-12-21,Cheque deposit 5478,60290.44,credit
2025-11-05,Razorpay settlement 6703,16665.17,credit
2025-12-11,Figma subscription,1561.8,debit
2025-05-17,Hotel stay 8406,3594.29,debit
2026-01-23,Swiggy order #2929,474.38,debit
2025-07-29,Zomato order #7412,409.28,debit
2026-03-10,Salary credit 1351,123945.86,credit
2024-08-18,GitHub subscription,403.06,debit
2024-11-05,Office supplies,1950.81,debit
2025-09-10,Swiggy order #3022,297.36,debit
2025-10-27,Google Workspace,1671.85,debit
2024-06-23,Microsoft Azure 3875,6294.09,debit
2025-04-19,Figma subscription,1834.93,debit
2026-02-23,AWS invoice 3738,4382.22,debit
2025-03-23,Jio recharge,562.88,debit
2025-12-23,Razorpay settlement 5193,25187.07,credit
2024-04-13,Freelance payment 4066,35312.16,credit
2024-08-08,Slack subscription,1254.42,debit
2026-01-17,NEFT transfer 9277,10947.53,credit
2024-06-05,Salary credit 4694,66465.71,credit
2025-09-09,BigBasket order,539.89,debit
2025-01-04,AWS invoice 2850,13227.55,debit
2025-07-02,Myntra order #8933,962.87,debit
2024-11-08,AWS invoice 2065,9678.42,debit
2024-07-31,Spotify premium,105.84,debit
2025-01-03,Netflix subscription,703.87,debit
2024-02-28,Zomato order #2479,865.36,debit
2025-08-27,Airtel broadband,562.93,debit
2025-10-18,Razorpay settlement 8610,21628.45,credit
2026-04-14,Flipkart order #9287,799.18,debit
2025-11-04,Office supplies,1168.62,debit
2025-04-16,Spotify premium,183.53,debit
2025-04-09,Zomato order #9549,818.92,debit
2025-07-04,Amazon purchase,1290.12,debit
2024-05-17,Airtel broadband,977.14,debit
2024-01-13,Amazon purchase,1445.3,debit
2024-11-03,Amazon purchase,2382.62,debit
2025-11-10,Salary credit 1150,109077.6,credit
2024-02-20,Flight booking 7149,8272.15,debit
2025-11-27,Flight booking 2737,9700.89,debit
2024-07-28,Swiggy order #5186,764.46,debit
2026-02-08,Razorpay settlement 7032,20686.04,credit
2026-03-21,Electricity bill 1397,1169.14,debit
2024-10-05,Swiggy order #9630,234.35,debit
2024-08-15,Interest credit,691.99,credit
2025-12-31,Flipkart order #6236,3989.6,debit
2024-05-21,Client payment 7024,98831.51,credit
2024-05-27,Amazon purchase,4165.47,debit
2025-12-31,Uber ride 1323,157.65,debit
2025-11-01,Airtel broadband,574.83,debit
2026-04-11,Ola cab 3426,294.46,debit
2026-03-01,Uber ride 2204,204.06,debit
2024-02-23,Office supplies,2136.55,debit
2024-11-26,Client payment 5932,168827.96,credit
